gate_id,gate_name,claim_text,status,risk_level,source_title,source_url,publisher_or_journal,pub_date,quote_or_paraphrase,applies_to,required_action,owner
R1,Monash runtime reuse,"Monash grants website use for personal non-commercial purposes only.",supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Terms state the site is licensed only for personal non-commercial use.","public runtime rights boundary",Treat Monash as non-runtime evidence source only,legal
R1,Monash runtime reuse,"Monash terms prohibit extracting website data without written permission.",supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Terms prohibit extraction and use of data from the website without written permission.","public API derivation",Block Monash-derived DB/API ingestion unless licensed,legal
R1,Monash runtime reuse,"Monash terms prohibit copying/distributing/selling/modifying content without permission.",supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Terms prohibit copying, distributing, selling, renting, modifying, publishing and creating derivatives.","public docs and API text",Use paraphrase and links only; avoid reused text/assets,legal
R1,Monash runtime reuse,"Monash disclaimer states copyright is owned and reproduction requires written consent.",supported,High,"Monash Disclaimer and Copyright","https://www.monashfodmap.com/disclaimer-and-copyright/","Monash University",2026,"Copyright in website content is owned by Monash and reuse/reproduction requires written consent.","public docs content",Do not copy Monash prose/tables into repo/API,legal
R1,Monash runtime reuse,"Public Monash guidance can support internal evidence review.",supported,Med,"Monash FAQs","https://www.monashfodmap.com/about-fodmap-and-ibs/frequently-asked-questions/","Monash University",2026,"Public FAQ content is accessible for informational reading.","research workflow",Keep Monash in internal evidence notes only,data
R1,Monash runtime reuse,"Using Monash guidance alone to generate public cohort tags is rights-sensitive and should be treated as blocked.",partially supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Because extraction and redistribution are prohibited, Monash-derived runtime tagging is blocked without license.","safe-harbor public tagging",Use CIQUAL-derived rules for runtime tags,legal
R2,CIQUAL reuse rights,"CIQUAL 2025 dataset is published under Etalab Open License 2.0.",supported,Low,"CIQUAL 2025 dataset (Dataverse)","https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/RDMHWY","ANSES / Recherche Data Gouv",2025,"Dataset page lists license and data use agreement as Etalab Open License 2.0.","repo and pipeline storage",Use CIQUAL as primary runtime dataset,data
R2,CIQUAL reuse rights,"CIQUAL dataset page requires explicit citation to source.",supported,Low,"CIQUAL 2025 dataset (Dataverse)","https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/RDMHWY","ANSES / Recherche Data Gouv",2025,"Citation guidance requests explicit source reference when using data.","docs and release notes",Add mandatory source citation string,maintainer
R2,CIQUAL reuse rights,"Etalab Open License allows free reuse including commercial use.",supported,Low,"Etalab Open Licence 2.0","https://www.data.gouv.fr/pages/legal/licences/etalab-2.0","data.gouv.fr",2024,"License permits free reuse of public information including commercial use.","public/open project",Proceed with CIQUAL reuse under license terms,legal
R2,CIQUAL reuse rights,"Etalab Open License requires source attribution and update-date mention when available.",supported,Low,"Open Licence 2.0 (PDF)","https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf","Etalab / French Government",2021,"License requires mention of source and date of last update for reused information.","API metadata and docs",Expose source and version/update metadata,maintainer
R2,CIQUAL reuse rights,"Etalab Open License prohibits implying endorsement and misleading reuse.",supported,Low,"Open Licence 2.0 (PDF)","https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf","Etalab / French Government",2021,"License forbids suggesting official endorsement and misleading users about data/source/update.","public API and UI wording",Add non-endorsement wording and governance checks,product
R3,Peer-reviewed reuse,"PubMed records show publisher copyright on guideline articles.",supported,Med,"ACG IBS Guideline (PubMed)","https://pubmed.ncbi.nlm.nih.gov/33315591/","American Journal of Gastroenterology",2021,"PubMed record includes copyright statement from publisher.","journal content reuse boundary",Do not republish full text/tables/figures,data
R3,Peer-reviewed reuse,"Publisher copyright also appears on AGA guideline publication.",supported,Med,"AGA Clinical Practice Update (PubMed)","https://pubmed.ncbi.nlm.nih.gov/35337654/","Gastroenterology / Elsevier",2022,"PubMed record includes copyright held by publisher.","journal content reuse boundary",Use citations and internal summaries only,data
R4,Guideline and government rights,"CDC materials are mostly public domain but require attribution and no implied endorsement.",supported,Low,"CDC Use of Agency Materials","https://www.cdc.gov/other/agencymaterials.html","Centers for Disease Control and Prevention",2025,"CDC states US government works are public domain; asks citation and restricts logo/endorsement use.","public docs and safety guidance",Cite CDC and avoid logo use,maintainer
R4,Guideline and government rights,"NICE content has explicit rights controls and international reuse may need permission.",supported,Med,"NICE Terms and Conditions","https://www.nice.org.uk/terms-and-conditions","NICE",2026,"NICE terms describe licensed use and note international use outside UK scope may require agreement.","guideline text reuse",Treat NICE as internal evidence only for V1 public copy unless licensed,maintainer
R6,Policy closure,"Maintainer policy sets CIQUAL as the only runtime/public data basis and bans Monash-derived runtime/public rationale text in V1.",supported,Low,"Maintainer policy decision (Safe-Harbor V1)","N/A (maintainer instruction 2026-03-13)","Project maintainer",2026,"Policy removes ambiguous Monash public-runtime reuse path and closes R6 for V1.","launch gate",Enforce CIQUAL-only runtime/public copy basis in implementation checklist,maintainer
R6,Policy closure,"Maintainer policy treats NICE text as non-reusable for public copy in V1 unless explicit permission is documented.",supported,Low,"Maintainer policy decision (Safe-Harbor V1)","N/A (maintainer instruction 2026-03-13)","Project maintainer",2026,"Policy removes NICE public-copy ambiguity by defaulting to non-reuse.","launch gate",Block NICE textual reuse in API/docs unless legal clearance exists,maintainer
S1,Scientific validity locked cohorts,"FODMAPs are short-chain carbohydrates.",supported,Low,"Monash FAQs","https://www.monashfodmap.com/about-fodmap-and-ibs/frequently-asked-questions/","Monash University",2026,"FAQ defines FODMAPs as short-chain carbohydrates.","cohort rationale framing",Use carbohydrate-based rationale wording,data
S1,Scientific validity locked cohorts,"Fats and oils are generally low in FODMAPs because they contain little or no carbohydrates.",supported,Low,"Monash FAQs","https://www.monashfodmap.com/about-fodmap-and-ibs/frequently-asked-questions/","Monash University",2026,"FAQ states fats/oils are generally low in FODMAPs due to little/no carbohydrates.","cohort_oil_fat",Use 'generally low by composition' wording,product
S1,Scientific validity locked cohorts,"Meat, chicken, fish and eggs are generally low in FODMAPs because they contain little or no carbohydrates.",supported,Low,"Monash FAQs","https://www.monashfodmap.com/about-fodmap-and-ibs/frequently-asked-questions/","Monash University",2026,"FAQ states these protein foods are generally low in FODMAPs due to low carbohydrate content.","cohort_plain_protein and cohort_egg",Require plain/unprocessed qualifier,product
S1,Scientific validity locked cohorts,"Protein foods are naturally free from FODMAPs in plain forms.",supported,Low,"Monash High and Low FODMAP Foods","https://www.monashfodmap.com/about-fodmap-and-ibs/high-and-low-fodmap-foods/","Monash University",2026,"High/low page says fish, meat and eggs are naturally free from FODMAPs.","cohort_plain_protein and cohort_egg",Apply processing caveat and avoid absolute claims,data
S1,Scientific validity locked cohorts,"Food processing can alter FODMAP composition and classification.",supported,Med,"Varney et al. 2017 review","https://pubmed.ncbi.nlm.nih.gov/28244665/","J Gastroenterol Hepatol",2017,"Review notes food processing can increase/decrease FODMAP composition and affect low/high status.","all locked cohorts",Keep processed variants excluded,data
S2,Clinical wording guardrails,"ACG recommends only a limited trial of low-FODMAP diet for IBS symptom improvement.",supported,Med,"ACG IBS Guideline 2021","https://pubmed.ncbi.nlm.nih.gov/33315591/","American Journal of Gastroenterology",2021,"Guideline issues a conditional recommendation for a limited low-FODMAP trial.","public copy tone",Avoid absolute medical claims,product
S2,Clinical wording guardrails,"AGA describes three low-FODMAP phases and warns against overly restrictive long-term use.",supported,Med,"AGA Clinical Practice Update 2022","https://pubmed.ncbi.nlm.nih.gov/35337654/","Gastroenterology",2022,"Best practice advice describes restriction, reintroduction and personalization with less restrictive long-term diet.","public copy tone",Frame as compatible guidance not guaranteed outcomes,product
S2,Clinical wording guardrails,"NICE recommends expert-led low-FODMAP diets only after other dietary steps.",supported,Med,"NICE IBS Recommendations","https://www.nice.org.uk/guidance/cg61/chapter/Recommendations","NICE",2025,"Recommendation supports low-FODMAP diets only with healthcare professional expertise.","public copy tone",Keep non-medical and non-prescriptive messaging,product
S3,Safety caveats,"Garlic and onion FODMAP compounds are water-soluble and not fat-soluble.",supported,Low,"Monash infused oils explainer","https://www.monashfodmap.com/blog/all-about-onion-garlic-and-infused-oils-on-the-low-fodmap-diet/","Monash University",2024,"Monash explains fructans are water-soluble and not fat-soluble, supporting infused-oil rationale.","cohort_oil_fat caveat",Allow plain infused oils only when solids removed,data
S3,Safety caveats,"Homemade garlic-in-oil mixtures must be refrigerated and discarded after 4 days.",supported,High,"NCHFP freezing garlic in oil","https://nchfp.uga.edu/how/freeze/vegetable/freezing-garlic-in-oil/","National Center for Home Food Preservation",n.d.,"NCHFP warns to refrigerate homemade garlic-in-oil and discard unused portions after four days.","user safety messaging",Include storage warning whenever infused oils are discussed,product
S3,Safety caveats,"CDC advises refrigerating homemade oils flavored with garlic or herbs and discarding after 4 days.",supported,High,"CDC botulism prevention","https://www.cdc.gov/botulism/prevention/home-canned-foods.html","Centers for Disease Control and Prevention",2026,"CDC advises refrigerating garlic/herb oils and discarding after four days to prevent botulism.","user safety messaging",Mirror CDC storage guidance in caveat copy,product
