priority_rank,food_slug,subtype_code,known_before,measurement_found,source_citation,value_raw,unit,basis,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,method,evidence_tier,confidence_score,quarantine_flag,blocked_reason,notes
18,pois-chiche-appertise-egoutte,fructan,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review across CIQUAL + Phase2 bibliography (Monash app/Muir/Biesiekierski) found no robust canned-drained fructan composition value"
18,pois-chiche-appertise-egoutte,fructose,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review found no fructose+glucose pair for canned-drained chickpea to compute excess fructose"
18,pois-chiche-appertise-egoutte,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,75,0.000,expert_estimate,inferred,0.950,false,,"Plant-derived food; lactose is mammalian-milk exclusive"
18,pois-chiche-appertise-egoutte,mannitol,false,true,"ANSES CIQUAL 2025 alim_code=20507 total polyols <0.5 g/100g (boiled chickpea proxy)",<0.5,g_per_100g,per_100g,lt,0.5,75,0.375,derived_from_nutrient,inferred,0.600,false,,"Proxy from close cooked chickpea variant; retained with conservative comparator and inferred tier"
18,pois-chiche-appertise-egoutte,sorbitol,false,true,"ANSES CIQUAL 2025 alim_code=20507 total polyols <0.5 g/100g (boiled chickpea proxy)",<0.5,g_per_100g,per_100g,lt,0.5,75,0.375,derived_from_nutrient,inferred,0.600,false,,"Proxy from close cooked chickpea variant; retained with conservative comparator and inferred tier"
21,phase2-lentille-brune-cuite,fructan,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review across CIQUAL + Phase2 bibliography found no brown-cooked lentil fructan composition row suitable for direct promotion"
21,phase2-lentille-brune-cuite,fructose,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No brown-cooked lentil fructose+glucose pair found for excess-fructose computation after second-pass review"
21,phase2-lentille-brune-cuite,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,100,0.000,expert_estimate,inferred,0.950,false,,"Plant-derived food; lactose is mammalian-milk exclusive"
21,phase2-lentille-brune-cuite,mannitol,false,true,"ANSES CIQUAL 2025 alim_code=20360 total polyols <0.5 g/100g (cooked lentil average proxy)",<0.5,g_per_100g,per_100g,lt,0.5,100,0.500,derived_from_nutrient,inferred,0.600,false,,"Proxy from cooked lentil average row; conservative upper bound retained"
21,phase2-lentille-brune-cuite,sorbitol,false,true,"ANSES CIQUAL 2025 alim_code=20360 total polyols <0.5 g/100g (cooked lentil average proxy)",<0.5,g_per_100g,per_100g,lt,0.5,100,0.500,derived_from_nutrient,inferred,0.600,false,,"Proxy from cooked lentil average row; conservative upper bound retained"
12,phase2-farine-ble-t65,fructose,false,true,"ANSES CIQUAL 2025 (alim_code=9435, Wheat flour type 65; fructose <0.1 g/100g, glucose 0.073 g/100g)",<0.027,g_per_100g,per_100g,lt,0.027,40,0.011,derived_from_nutrient,secondary_db,0.600,false,,"Upper bound for excess fructose computed as max(0, 0.1 - 0.073)"
12,phase2-farine-ble-t65,gos,false,false,,,,,,,,,,,,false,no_subtype_specific_source,"No direct GOS value found for T65 in available public sources"
12,phase2-farine-ble-t65,lactose,false,true,"ANSES CIQUAL 2025 (alim_code=9435, Wheat flour type 65; lactose <0.1 g/100g)",<0.1,g_per_100g,per_100g,lt,0.1,40,0.040,derived_from_nutrient,secondary_db,0.700,false,,"Exact CIQUAL row match for T65"
12,phase2-farine-ble-t65,mannitol,false,true,"ANSES CIQUAL 2025 (alim_code=9435, Wheat flour type 65; total polyols = 0 g/100g)",0,g_per_100g,per_100g,eq,0,40,0.000,derived_from_nutrient,secondary_db,0.600,false,,"Inferred mannitol=0 from total polyols=0"
12,phase2-farine-ble-t65,sorbitol,false,true,"ANSES CIQUAL 2025 (alim_code=9435, Wheat flour type 65; total polyols = 0 g/100g)",0,g_per_100g,per_100g,eq,0,40,0.000,derived_from_nutrient,secondary_db,0.600,false,,"Inferred sorbitol=0 from total polyols=0"
38,phase2-shiitake-cru,fructan,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review (CIQUAL + Phase2 bibliography) did not identify raw shiitake fructan composition value"
38,phase2-shiitake-cru,fructose,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No raw shiitake fructose+glucose pair available for excess-fructose computation"
38,phase2-shiitake-cru,gos,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No raw shiitake GOS composition row identified in available sources"
38,phase2-shiitake-cru,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,60,0.000,expert_estimate,inferred,0.950,false,,"Plant-derived food; lactose is mammalian-milk exclusive"
38,phase2-shiitake-cru,sorbitol,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No raw shiitake sorbitol composition row identified; existing mannitol row retained as only explicit subtype signal"
7,phase2-oignon-nouveau-bulbe-blanc,fructose,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review found no raw white-bulb fructose+glucose pair for excess-fructose computation"
7,phase2-oignon-nouveau-bulbe-blanc,gos,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No raw white-bulb GOS composition value found in available sources"
7,phase2-oignon-nouveau-bulbe-blanc,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,15,0.000,expert_estimate,inferred,0.950,false,,"Plant-derived food; lactose is mammalian-milk exclusive"
7,phase2-oignon-nouveau-bulbe-blanc,mannitol,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No exact raw white-bulb mannitol composition value found"
7,phase2-oignon-nouveau-bulbe-blanc,sorbitol,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No exact raw white-bulb sorbitol composition value found"
11,phase2-farine-ble-t55,fructose,false,false,,,,,,,,,,,,false,no_robust_excess_bound,"CIQUAL fructose and glucose are both bounded (<0.2); excess-fructose bound considered too loose"
11,phase2-farine-ble-t55,gos,false,false,,,,,,,,,,,,false,no_subtype_specific_source,"No direct GOS value found for T55 in available public sources"
11,phase2-farine-ble-t55,lactose,false,true,"ANSES CIQUAL 2025 (alim_code=9436, Wheat flour type 55; lactose <0.2 g/100g)",<0.2,g_per_100g,per_100g,lt,0.2,40,0.080,derived_from_nutrient,secondary_db,0.700,false,,"Exact CIQUAL row match for T55"
11,phase2-farine-ble-t55,mannitol,false,true,"ANSES CIQUAL 2025 (alim_code=9436, Wheat flour type 55; total polyols = 0 g/100g)",0,g_per_100g,per_100g,eq,0,40,0.000,derived_from_nutrient,secondary_db,0.600,false,,"Inferred mannitol=0 from total polyols=0"
11,phase2-farine-ble-t55,sorbitol,false,true,"ANSES CIQUAL 2025 (alim_code=9436, Wheat flour type 55; total polyols = 0 g/100g)",0,g_per_100g,per_100g,eq,0,40,0.000,derived_from_nutrient,secondary_db,0.600,false,,"Inferred sorbitol=0 from total polyols=0"
