priority_rank,food_slug,subtype_code,pass_sequence,source_slug,source_citation,candidate_value,decision,decision_reason,notes
3,phase2-ail-infuse-huile,fructose,pass1b_special,monash_app_v4_reference,"Monash garlic-infused oil low-FODMAP guidance + fat-solubility exclusion",0,promote,garlic_oil_special_pass,"non-fat-soluble FODMAP classes removed with solids"
3,phase2-ail-infuse-huile,gos,pass1b_special,monash_app_v4_reference,"Monash garlic-infused oil low-FODMAP guidance + fat-solubility exclusion",0,promote,garlic_oil_special_pass,"non-fat-soluble FODMAP classes removed with solids"
3,phase2-ail-infuse-huile,mannitol,pass1b_special,monash_app_v4_reference,"Monash garlic-infused oil low-FODMAP guidance + fat-solubility exclusion",0,promote,garlic_oil_special_pass,"non-fat-soluble FODMAP classes removed with solids"
3,phase2-ail-infuse-huile,sorbitol,pass1b_special,monash_app_v4_reference,"Monash garlic-infused oil low-FODMAP guidance + fat-solubility exclusion",0,promote,garlic_oil_special_pass,"non-fat-soluble FODMAP classes removed with solids"
6,phase2-oignon-poudre,fructose,pass2_literature,monash_app_v4_reference,"Monash allium profile + Muir/Biesiekierski context",<0.4,promote,literature_conservative_bound,"fructan-dominant onion powder; conservative excess cap"
6,phase2-oignon-poudre,gos,pass2_literature,"monash_app_v4_reference|muir_2007_fructan|biesiekierski_2011_fructan|yao_2005_polyols|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no onion-powder GOS numeric composition row"
6,phase2-oignon-poudre,mannitol,pass2_literature,yao_2005_polyols,"Yao polyols context + allium composition profile",<0.1,promote,literature_conservative_bound,"polyol upper-bound used"
6,phase2-oignon-poudre,sorbitol,pass2_literature,yao_2005_polyols,"Yao polyols context + allium composition profile",<0.1,promote,literature_conservative_bound,"polyol upper-bound used"
8,phase2-oignon-nouveau-tiges-vertes,fructose,pass2_literature,monash_app_v4_reference,"Monash spring onion green tops profile",0.05,promote,literature_conservative_bound,"near-zero excess fructose signal"
8,phase2-oignon-nouveau-tiges-vertes,gos,pass2_literature,"monash_app_v4_reference|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no green-tops GOS numeric composition row"
8,phase2-oignon-nouveau-tiges-vertes,mannitol,pass2_literature,yao_2005_polyols,"Yao polyols context + Monash spring onion guidance",<0.1,promote,literature_conservative_bound,"polyol upper-bound used"
8,phase2-oignon-nouveau-tiges-vertes,sorbitol,pass2_literature,yao_2005_polyols,"Yao polyols context + Monash spring onion guidance",<0.1,promote,literature_conservative_bound,"polyol upper-bound used"
10,phase2-poireau-partie-blanche-crue,fructose,pass2_literature,muir_2007_fructan,"Muir allium context + Monash leek profile",0.2,promote,literature_conservative_bound,"leek white remains fructan-dominant"
10,phase2-poireau-partie-blanche-crue,gos,pass2_literature,"monash_app_v4_reference|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no leek-white GOS numeric composition row"
10,phase2-poireau-partie-blanche-crue,mannitol,pass2_literature,yao_2005_polyols,"Yao polyols context + Monash leek profile",<0.2,promote,literature_conservative_bound,"polyol upper-bound used"
10,phase2-poireau-partie-blanche-crue,sorbitol,pass2_literature,yao_2005_polyols,"Yao polyols context + Monash leek profile",<0.2,promote,literature_conservative_bound,"polyol upper-bound used"
13,phase2-farine-ble-t80,fructose,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434 fructose/glucose pair",<0.03,promote,strict_match_pass,"T80 strict-match candidate accepted"
13,phase2-farine-ble-t80,gos,pass2_literature,"monash_app_v4_reference|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no T80 GOS numeric composition row"
13,phase2-farine-ble-t80,mannitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434 total polyols = 0",0,promote,strict_match_pass,"polyols zero inference"
13,phase2-farine-ble-t80,sorbitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9434 total polyols = 0",0,promote,strict_match_pass,"polyols zero inference"
17,phase2-racine-chicoree,fructose,pass2_literature,biesiekierski_2011_fructan,"Biesiekierski/Muir chicory context",0,promote,literature_conservative_bound,"fructan/inulin dominant matrix"
17,phase2-racine-chicoree,gos,pass2_literature,"dysseler_hoffem_gos|monash_app_v4_reference","bibliography sweep",,block,no_literature_numeric_value,"no chicory-root GOS numeric composition row"
17,phase2-racine-chicoree,mannitol,pass2_literature,yao_2005_polyols,"Yao polyols context",,block,no_literature_numeric_value,"no chicory-root mannitol numeric composition row"
17,phase2-racine-chicoree,sorbitol,pass2_literature,yao_2005_polyols,"Yao polyols context",,block,no_literature_numeric_value,"no chicory-root sorbitol numeric composition row"
27,phase2-soja-graine-entiere-cuite,fructan,pass2_literature,"muir_2007_fructan|monash_app_v4_reference","bibliography sweep",,block,no_literature_numeric_value,"no whole-cooked-soy fructan numeric composition row"
27,phase2-soja-graine-entiere-cuite,fructose,pass2_literature,dysseler_hoffem_gos,"Dysseler/Hoffem + Monash soybean profile",0,promote,literature_conservative_bound,"GOS-driven soybean profile"
27,phase2-soja-graine-entiere-cuite,mannitol,pass2_literature,yao_2005_polyols,"Yao polyols context + cooked soy matrix",<0.5,promote,literature_conservative_bound,"polyol upper-bound used"
27,phase2-soja-graine-entiere-cuite,sorbitol,pass2_literature,yao_2005_polyols,"Yao polyols context + cooked soy matrix",<0.5,promote,literature_conservative_bound,"polyol upper-bound used"
28,phase2-noix-cajou-crue,fructan,pass2_literature,"muir_2007_fructan|monash_app_v4_reference","bibliography sweep",,block,no_literature_numeric_value,"no raw-cashew fructan numeric composition row"
28,phase2-noix-cajou-crue,fructose,pass2_literature,dysseler_hoffem_gos,"Dysseler/Hoffem + Monash cashew profile",0,promote,literature_conservative_bound,"GOS-driven cashew profile"
28,phase2-noix-cajou-crue,mannitol,pass2_literature,yao_2005_polyols,"Yao polyols context",,block,no_literature_numeric_value,"no raw-cashew mannitol numeric composition row"
28,phase2-noix-cajou-crue,sorbitol,pass2_literature,yao_2005_polyols,"Yao polyols context + cashew matrix",<0.3,promote,literature_conservative_bound,"conservative sorbitol upper bound"
